273245,Betway,1.70,3.80,4.75
273245,bwin,1.72,3.80,5.00
273245,ComeOn,1.67,4.10,5.30
273245,Interwetten,1.67,3.90,4.95
273245,Pinnacle,1.67,4.13,5.31
273245,SBOBET,1.68,3.95,5.20
273245,Unibet,1.70,4.05,5.30
273245,William Hill,1.65,3.90,5.25
273245,youwin,1.65,3.60,4.50
273245,Betfair Exchange,1.67,3.95,5.37
273247,10Bet,1.32,5.35,7.75
273247,188BET,1.34,5.60,8.40
273247,1xBet,1.37,5.40,8.70
273247,888sport,1.34,5.60,8.50
273247,bet-at-home,1.33,5.48,7.89
273247,bet365,1.33,5.25,8.50
273247,Betclic,1.33,5.90,8.60
273247,Betfair,1.33,5.50,9.50
273247,Betsafe,1.35,5.80,9.20
273247,Betsson,1.35,5.80,9.20
273247,BetVictor,1.30,5.75,9.50
273247,Betway,1.33,5.50,8.00
273247,bwin,1.34,5.75,8.25
273247,ComeOn,1.36,5.70,8.50
273247,Interwetten,1.35,5.30,8.00
273247,Pinnacle,1.36,5.66,8.46
273247,SBOBET,1.33,5.80,8.75
273247,Unibet,1.36,5.70,8.75
273247,William Hill,1.32,5.80,8.50
273247,youwin,1.29,5.25,7.25
273247,Betfair Exchange,1.36,5.75,8.41
273263,10Bet,1.24,5.85,10.00
273263,188BET,1.25,6.50,11.00
273263,1xBet,1.29,6.45,11.00
273263,888sport,1.25,6.40,11.50
273263,bet-at-home,1.26,6.07,9.80
273263,bet365,1.22,6.50,12.00
273263,Betclic,1.27,6.35,10.25
273263,Betfair,1.25,7.00,12.00
273263,Betsafe,1.27,6.60,12.00
273263,Betsson,1.27,6.60,12.00
273263,BetVictor,1.25,6.50,11.50
273263,Betway,1.25,6.50,10.00
273263,bwin,1.25,6.50,11.50
273263,ComeOn,1.27,6.35,11.50
273263,Interwetten,1.25,6.10,11.00
273263,Pinnacle,1.26,6.52,11.22
273263,SBOBET,1.28,5.80,12.00
273263,Unibet,1.27,6.50,12.00
273263,William Hill,1.25,6.00,12.00
273263,youwin,1.20,6.25,11.00
273263,Betfair Exchange,1.26,6.89,11.93
273268,10Bet,1.83,3.60,3.90
273268,188BET,1.90,3.80,3.95
273268,1xBet,1.95,3.84,4.06
273268,888sport,1.87,3.80,4.10
